"country","country.code","super.region","region","sex","age","pop","alcohol.use","drug.use","high.meat","low.exercise","smoking"
"Malaysia","MYS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",8592888,13.550480071,16.374010011,0.0634606522,5.848701039,35.93575675
"Malaysia","MYS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",1185833.036,0.0371382697,0.1771750362,NA,NA,NA
"Malaysia","MYS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",2236111,50.026056124,27.287798002,0.7730875041,84.544171114,407.942989841
"Malaysia","MYS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",2546436,0.0668074108,0.1698683832,NA,NA,NA
"Malaysia","MYS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",8615986,1.434909336,1.700381472,0.03699661022,1.710080687,2.742246761
"Malaysia","MYS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",514446,113.640329801,27.984779445,1.618588067,337.293557823,1577.288657427
"Malaysia","MYS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",506619,36.251425627,4.328037176,1.145283204,221.018749289,350.911938585
"Malaysia","MYS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",2432387,8.285855438,2.918816426,0.4522769814,33.759296639,45.746521209
"Maldives","MDV","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",6321,75.253070099,23.04539521,0.1433767352,266.816397198,524.987420067
"Maldives","MDV","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",20610,15.888691996,2.680008947,0.03927264913,14.156043471,20.156412211
"Maldives","MDV","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",5725,65.955833998,7.573160838,0.1089023385,142.639852129,105.903390795
"Maldives","MDV","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",104415,10.71890365,5.351189975,0.003911130975,2.31251197,8.131544746
